code,label,type,min,max,step,description,direct,category,active,has_team,overall,home,away,id,inplay_only
u3_asian_corners_1h,Under 3 Asian Corners (1st Half),,0,100,1,Under 3 Asian Corners (1st Half),,odds,1,,,,,313,
u45_asian_corners,Under 4.5 Asian Corners,,0,100,1,,,odds,1,,,,,314,
u45_asian_corners_1h,Under 4.5 Asian Corners (1st Half),,0,100,1,Under 4.5 Asian Corners (1st Half),,odds,1,,,,,315,
u45_goals,Match Goals Under 4.5,,0,100,1,Match Goals Under 4.5,,odds,1,,,,,316,
u45_goals_1h,1st Half Goals Under 4.5,,0,100,1,1st Half Goals Under 4.5,,odds,1,,,,,317,
u4_asian_corners,Under 4 Asian Corners,,0,100,1,,,odds,1,,,,,318,
u4_asian_corners_1h,Under 4 Asian Corners (1st Half),,0,100,1,Under 4 Asian Corners (1st Half),,odds,1,,,,,319,
u55_asian_corners,Under 5.5 Asian Corners,,0,100,1,,,odds,1,,,,,320,
u55_asian_corners_1h,Under 5.5 Asian Corners (1st Half),,0,100,1,Under 5.5 Asian Corners (1st Half),,odds,1,,,,,321,
u55_goals,Match Goals Under 5.5,,0,100,1,Match Goals Under 5.5,,odds,1,,,,,322,
u55_goals_1h,1st Half Goals Under 5.5,,0,100,1,1st Half Goals Under 5.5,,odds,1,,,,,323,
u5_asian_corners,Under 5 Asian Corners,,0,100,1,,,odds,1,,,,,324,
u5_asian_corners_1h,Under 5 Asian Corners (1st Half),,0,100,1,Under 5 Asian Corners (1st Half),,odds,1,,,,,325,
u65_asian_corners,Under 6.5 Asian Corners,,0,100,1,,,odds,1,,,,,326,
u65_asian_corners_1h,Under 6.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,327,
u65_goals,Match Goals Under 6.5,,0,100,1,Match Goals Under 6.5,,odds,1,,,,,328,
u6_asian_corners,Under 6 Asian Corners,,0,100,1,,,odds,1,,,,,329,
u6_asian_corners_1h,Under 6 Asian Corners (1st Half),,0,100,1,Under 6 Asian Corners (1st Half),,odds,1,,,,,330,
u75_asian_corners,Under 7.5 Asian Corners,,0,100,1,Under 7.5 Asian Corners,,odds,1,,,,,331,
u75_asian_corners_1h,Under 7.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,332,
u75_goals,Match Goals Under 7.5,,0,100,1,Match Goals Under 7.5,,odds,1,,,,,333,
u7_asian_corners,Under 7 Asian Corners,,0,100,1,,,odds,1,,,,,334,
u7_asian_corners_1h,Under 7 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,335,
u7_corners,Under 7 Total Corners,,0,100,1,Under 7 Total Corners,,odds,1,,,,,336,
u85_asian_corners,Under 8.5 Asian Corners,,0,100,1,Under 8.5 Asian Corners,,odds,1,,,,,337,
u85_asian_corners_1h,Under 8.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,338,
u85_goals,Match Goals Under 8.5,,0,100,1,,,odds,1,,,,,339,
u8_asian_corners,Under 8 Asian Corners,,0,100,1,Under 8 Asian Corners,,odds,1,,,,,340,
u8_asian_corners_1h,Under 8 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,341,
u8_corners,Under 8 Total Corners,,0,100,1,Under 8 Total Corners,,odds,1,,,,,342,
u95_asian_corners,Under 9.5 Asian Corners,,0,100,1,Under 9.5 Asian Corners,,odds,1,,,,,343,
u95_asian_corners_1h,Under 9.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,344,
u9_asian_corners,Under 9 Asian Corners,,0,100,1,Under 9 Asian Corners,,odds,1,,,,,345,
u9_asian_corners_1h,Under 9 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,346,
u9_corners,Under 9 Total Corners,,0,100,1,Under 9 Total Corners,,odds,1,,,,,347,
win,Full Time Result [1X2],,0,100,1,,,odds,1,1,,,,348,
win_ht,Half Time Result [1X2],,0,100,1,,,odds,1,1,,,,349,
o05_away_goals_probability,Over 0.5 Goals (Away),per,0,100,1,The probability of Away Team Scoring 0.5 Goal or more,,probability,1,,,,,350,
