code,label,type,min,max,step,description,direct,category,active,has_team,overall,home,away,id,inplay_only
points_avg,PPG (Points Per Game),avg,0,3,0.01,Average points picked up per match across the competition by a team. Higher numbers indicate a stronger team,,general,1,,points_overall_avg,points_home_avg,points_away_avg,61,
won,Games Won,num,0,60,1,Number of games home_win by team,,general,1,,won_overall,won_home,won_away,62,
won_per,Win %,per,0,100,1,Percentage of matches where team WON,,general,1,,won_overall_per,won_home_per,won_away_per,63,
btts_1h_per,BTTS (1H) %,per,0,100,1,Percentage of matches where game ended with both teams scoring in the 1st half.,,goals,1,,btts_1h_overall_per,btts_1h_home_per,btts_1h_away_per,64,
btts_2h_per,BTTS (2H) %,per,0,100,1,Percentage of matches where game ended with both teams scoring in the 2nd half.,,goals,1,,btts_2h_overall_per,btts_2h_home_per,btts_2h_away_per,65,
btts_o25_per,BTTS & +2.5 Goals %,per,0,100,1,Percentage of matches where game ended with both teams scoring AND Over 2.5 total Goals.,,goals,1,,btts_o25_overall_per,btts_o25_home_per,btts_o25_away_per,66,
btts_or_o25_per,BTTS or +2.5 Goals %,per,0,100,1,Percentage of matches where game ended with both teams scoring OR Over 2.5 total Goals.,,goals,1,,btts_or_o25_overall_per,btts_or_o25_home_per,btts_or_o25_away_per,67,
clean_sheets_per,Clean Sheet %,per,0,100,1,Percentage of matches where team conceded 0 goals.,,goals,1,,clean_sheets_overall_per,clean_sheets_home_per,clean_sheets_away_per,68,
conceded_1h_avg,Goals Conceded (1H AVG),avg,0,6,1,The average number of total goals Conceded by team in the 1st half.,,goals,1,,conceded_1h_overall_avg,conceded_1h_home_avg,conceded_1h_away_avg,69,
conceded_2h_avg,Goals Conceded (2H AVG),avg,0,6,1,The average number of total goals Conceded by team in the 2nd half.,,goals,1,,conceded_2h_overall_avg,conceded_2h_home_avg,conceded_2h_away_avg,70,
conceded_after_70_per,Conceded After 70 %,per,0,100,1,Percentage of times where team CONCEDED Goals After the 70th minute.,,goals,1,,conceded_after_70_overall_per,conceded_after_70_home_per,conceded_after_70_away_per,71,
conceded_avg,Goals Conceded (AVG),avg,0,6,0.01,The average number of total goals Conceded by team.,,goals,1,,conceded_overall_avg,conceded_home_avg,conceded_away_avg,72,
conceded_o05_1h_per,Conceded +0.5 (1H) %,per,0,100,1,Percentage of Over 0.5 Goals Conceded by team in then 1st half.,,goals,1,,conceded_o05_1h_overall_per,conceded_o05_1h_home_per,conceded_o05_1h_away_per,73,
conceded_o05_2h_per,Conceded +0.5 (2H) %,per,0,100,1,Percentage of Over 0.5 Goals Conceded by team in the 2nd half.,,goals,1,,conceded_o05_2h_overall_per,conceded_o05_2h_home_per,conceded_o05_2h_away_per,74,
conceded_o05_per,Conceded +0.5 %,per,0,100,1,Percentage of Over 0.5 Goals Conceded by team.,,goals,1,,conceded_o05_overall_per,conceded_o05_home_per,conceded_o05_away_per,75,
conceded_o15_1h_per,Conceded +1.5 (1H) %,per,0,100,1,Percentage of Over 1.5 Goals Conceded by team in the 1st half.,,goals,1,,conceded_o15_1h_overall_per,conceded_o15_1h_home_per,conceded_o15_1h_away_per,76,
conceded_o15_2h_per,Conceded +1.5 (2H) %,per,0,100,1,Percentage of Over 1.5 Goals Conceded by team in the 2nd half.,,goals,1,,conceded_o15_2h_overall_per,conceded_o15_2h_home_per,conceded_o15_2h_away_per,77,
conceded_o15_per,Conceded +1.5 %,per,0,100,1,Percentage of Over 1.5 Goals Conceded by team.,,goals,1,,conceded_o15_overall_per,conceded_o15_home_per,conceded_o15_away_per,78,
conceded_o25_per,Conceded +2.5 %,per,0,100,1,Percentage of Over 2.5 Goals Conceded by team.,,goals,1,,conceded_o25_overall_per,conceded_o25_home_per,conceded_o25_away_per,79,
first_goal_against_avg,AVG First Goal Against Time,avg,0,90,1,The average Time when team Conceded First Goal.,1,goals,1,,,,,80,
first_goal_for_avg,AVG First Goal For Time,avg,0,90,1,The average Time when team Scored First Goal.,1,goals,1,,,,,81,
first_goal_total_avg,AVG First Goal Time,avg,0,90,1,The average Time when First Goal was scored or conceded.,1,goals,1,,,,,82,
fts_per,Failed to Score %,per,0,100,1,Percentage of matches where this team FAILED to score.,,goals,1,,fts_overall_per,fts_home_per,fts_away_per,83,
goal_difference,Goal Difference,num,-20,100,1,The number of Goals Scored minus Goals Conceded by team,,goals,1,,goal_difference_overall,goal_difference_home,goal_difference_away,84,
goal_timings_mean_avg,AVG Goal Time,avg,0,90,1,The average Time when Goal occurs each time this team plays.,1,goals,1,,,,,85,
goals_after_70_per,Goals After 70 %,per,0,100,1,Percentage of times where there were goals After the 70th minute.,,goals,1,,goals_after_70_overall_per,goals_after_70_home_per,goals_after_70_away_per,86,
goals_between_0_15_against_per,0-15 Min Goals Against %,per,0,100,1,Percentage of times where team CONCEDED goals within the 0-15th minute’s time frame.,,goals,1,,goals_between_0_15_against_overall_per,goals_between_0_15_against_home_per,goals_between_0_15_against_away_per,87,
goals_between_0_15_for_per,0-15 Min Goals For %,per,0,100,1,Percentage of time where team SCORED goals within the 0-15th minute’s time frame.,,goals,1,,goals_between_0_15_for_overall_per,goals_between_0_15_for_home_per,goals_between_0_15_for_away_per,88,
goals_between_0_15_per,0-15 Min Goals %,per,0,100,1,Percentage of times where there were goals within 0-15th minute’s time frame.,,goals,1,,goals_between_0_15_overall_per,goals_between_0_15_home_per,goals_between_0_15_away_per,89,
goals_between_35_45_per,35-45 Min Goals %,per,0,100,1,Percentage of times where team CONCEDED goals within the 35-45th minute’s time frame.,,goals,1,,goals_between_35_45_overall_per,goals_between_35_45_home_per,goals_between_35_45_away_per,90,
goals_between_80_90_per,80-90 Min Goals %,per,0,100,1,Percentage of times where there were Goals within the 80-90th minute’s time frame,,goals,1,,goals_between_80_90_overall_per,goals_between_80_90_home_per,goals_between_80_90_away_per,91,
no_goals_per,0-0 %,per,0,100,1,Percentage of matches where team had a 0-0 score line.,,goals,1,,no_goals_overall_per,no_goals_home_per,no_goals_away_per,92,
o05_goals_1h_per,+0.5 1H Goals %,per,0,100,1,Percentage of matches where the Total Goals ended with 1 goal or above in the 1st half.,,goals,1,,o05_goals_1h_overall_per,o05_goals_1h_home_per,o05_goals_1h_away_per,93,
o05_goals_2h_per,+0.5 2H Goals %,per,0,100,1,Percentage of matches where the Total Goals ended with 1 goal or above in 2nd half.,,goals,1,,o05_goals_2h_overall_per,o05_goals_2h_home_per,o05_goals_2h_away_per,94,
o05_goals_per,+0.5 Goals %,per,0,100,1,Percentage of matches where the Total Goals ended with 1 goal or above.,,goals,1,,o05_goals_overall_per,o05_goals_home_per,o05_goals_away_per,95,
o15_goals_1h_per,+1.5 1H Goals %,per,0,100,1,Percentage of matches where the Total Goals ended with 2 goals or above in the 1st half.,,goals,1,,o15_goals_1h_overall_per,o15_goals_1h_home_per,o15_goals_1h_away_per,96,
o15_goals_2h_per,+1.5 2H Goals %,per,0,100,1,Percentage of matches where the Total Goals ended with 2 goals or above in the 2nd half.,,goals,1,,o15_goals_2h_overall_per,o15_goals_2h_home_per,o15_goals_2h_away_per,97,
o15_goals_per,+1.5 Goals %,per,0,100,1,Percentage of matches where the Total Goals ended with 2 goals or above.,,goals,1,,o15_goals_overall_per,o15_goals_home_per,o15_goals_away_per,98,
o25_goals_per,+2.5 Goals %,per,0,100,1,Percentage of matches where the Total Goals ended with 3 goals or above.,,goals,1,,o25_goals_overall_per,o25_goals_home_per,o25_goals_away_per,99,
o35_goals_per,+3.5 Goals %,per,0,100,1,Percentage of matches where the Total Goals with 4 goals or above.,,goals,1,,o35_goals_overall_per,o35_goals_home_per,o35_goals_away_per,100,
scored_1h_avg,Goals Scored (1H AVG),avg,0,6,0.01,The average number of total goals scored by team in the 1st Half.,,goals,1,,scored_1h_overall_avg,scored_1h_home_avg,scored_1h_away_avg,101,
scored_2h_avg,Goals Scored (2H AVG),avg,0,6,1,The average number of total goals scored by team in the 2nd half per match.,,goals,1,,scored_2h_overall_avg,scored_2h_home_avg,scored_2h_away_avg,102,
scored_after_70_per,Scored After 70 %,per,0,100,1,Percentage of times where team SCORED goals After the 70th minute.,,goals,1,,scored_after_70_overall_per,scored_after_70_home_per,scored_after_70_away_per,103,
scored_avg,Goals Scored (AVG),avg,0,6,0.01,The average number of total goals scored per match.,,goals,1,,scored_overall_avg,scored_home_avg,scored_away_avg,104,
scored_first_per,Scored First %,per,0,100,1,Percentage of matches where the team scored first.,,goals,1,,scored_first_overall_per,scored_first_home_per,scored_first_away_per,105,
scored_o05_1h_per,Scored +0.5 (1H) %,per,0,100,1,Percentage of Over 0.5 Goals Scored by team in the 1st Half.,,goals,1,,scored_o05_1h_overall_per,scored_o05_1h_home_per,scored_o05_1h_away_per,106,
scored_o05_2h_per,Scored +0.5 (2H) %,per,0,100,1,Percentage of Over 0.5 Goals Scored by team in the 2nd half.,,goals,1,,scored_o05_2h_overall_per,scored_o05_2h_home_per,scored_o05_2h_away_per,107,
scored_o05_per,Scored +0.5 %,per,0,100,1,Percentage of Over 0.5 Goals Scored by team.,,goals,1,,scored_o05_overall_per,scored_o05_home_per,scored_o05_away_per,108,
scored_o15_1h_per,Scored +1.5 (1H) %,per,0,100,1,Percentage of Over 1.5 Goals Scored by team in the 1st half.,,goals,1,,scored_o15_1h_overall_per,scored_o15_1h_home_per,scored_o15_1h_away_per,109,
scored_o15_2h_per,Scored +1.5 (2H) %,per,0,100,1,Percentage of Over 1.5 Goals Scored by team in the 2nd half.,,goals,1,,scored_o15_2h_overall_per,scored_o15_2h_home_per,scored_o15_2h_away_per,110,
scored_o15_per,Scored +1.5 %,per,0,100,1,Percentage of Over 1.5 Goals Scored by team.,,goals,1,,scored_o15_overall_per,scored_o15_home_per,scored_o15_away_per,111,
scored_o25_per,Scored +2.5 %,per,0,100,1,Percentage of Over 2.5 Goals Scored by team.,,goals,1,,scored_o25_overall_per,scored_o25_home_per,scored_o25_away_per,112,
total_goals_avg,Total Goals (AVG),avg,0,15,1,The average number of total goals,,goals,1,,total_goals_overall_avg,total_goals_home_avg,total_goals_away_avg,113,
drawn_at_ht_per,Draw at HT %,per,0,100,1,Percentage of matches where team DREW in the 1st half.,,half,1,,drawn_at_ht_overall_per,drawn_at_ht_home_per,drawn_at_ht_away_per,114,
lost_at_ht_per,Lost at HT %,per,0,100,1,Percentage of matches where team LOST in the 1st half.,,half,1,,lost_at_ht_overall_per,lost_at_ht_home_per,lost_at_ht_away_per,115,
no_goals_1h_per,0-0 (1H) %,per,0,100,1,Percentage of matches where the score line is 0-0 in the 1st half.,,half,1,,no_goals_1h_overall_per,no_goals_1h_home_per,no_goals_1h_away_per,116,
no_goals_2h_per,0-0 (2H) %,per,0,100,1,Percentage of matches where the score line is 0-0 in the 2nd half.,,half,1,,no_goals_2h_overall_per,no_goals_2h_home_per,no_goals_2h_away_per,117,
won_at_ht_per,Win at HT %,per,0,100,1,Percentage of matches where team WON in the 1st half.,,half,1,,won_at_ht_overall_per,won_at_ht_home_per,won_at_ht_away_per,118,
away_win,Away Win,,0,100,1,Away Win,,odds,1,,,,,119,
away_win_ht,Away Win [HT],,0,100,1,Away Win [HT],,odds,1,,,,,120,
away_win_or_draw,Double Chance [Draw Away] (2X),,0,100,1,Double Chance [Draw Away] (2X),,odds,1,,,,,121,
btts,Both Teams to Score (Yes),,0,100,1,Both Teams to Score (Yes),,odds,1,,,,,122,
btts_1h,Both Teams to Score in 1st Half (Yes),,0,100,1,Both Teams to Score in 1st Half (Yes),,odds,1,,,,,123,
btts_1h_no,Both Teams to Score in 1st Half (No),,0,100,1,Both Teams to Score in 1st Half (No),,odds,1,,,,,124,
btts_2h,Both Teams to Score in 2nd Half (Yes),,0,100,1,Both Teams to Score in 2nd Half (Yes),,odds,1,,,,,125,
btts_2h_no,Both Teams to Score in 2nd Half (No),,0,100,1,Both Teams to Score in 2nd Half (No),,odds,1,,,,,126,
btts_no,Both Teams to Score (No),,0,100,1,Both Teams to Score (No),,odds,1,,,,,127,
dnb,Draw No Bet,,0,100,1,,,odds,1,1,,,,128,
dnb_away,Draw No Bet [Away] (2),,0,100,1,Draw No Bet [Away] (2),,odds,1,,,,,129,
draw,Draw,,0,100,1,Draw,,odds,1,,,,,130,
draw_ht,Draw [HT],,0,100,1,Draw [HT],,odds,1,,,,,131,
e10_corners,Exactly 10 Total Corners,,0,100,1,Exactly 10 Total Corners,,odds,1,,,,,132,
e11_corners,Exactly 11 Total Corners,,0,100,1,Exactly 11 Total Corners,,odds,1,,,,,133,
e12_corners,Exactly 12 Total Corners,,0,100,1,Exactly 12 Total Corners,,odds,1,,,,,134,
e7_corners,Exactly 7 Total Corners,,0,100,1,Exactly 7 Total Corners,,odds,1,,,,,135,
e8_corners,Exactly 8 Total Corners,,0,100,1,Exactly 8 Total Corners,,odds,1,,,,,136,
e9_corners,Exactly 9 Total Corners,,0,100,1,Exactly 9 Total Corners,,odds,1,,,,,137,
home_win,Home Win,,0,100,1,Home Win,,odds,1,,,,,138,
home_win_ht,Home Win [HT],,0,100,1,Home Win [HT],,odds,1,,,,,139,
home_win_or_away_win,Double Chance [Home Away] (12),,0,100,1,Double Chance [Home Away] (12),,odds,1,,,,,140,
home_win_or_draw,Double Chance [Home Draw] (1X),,0,100,1,Double Chance [Home Draw] (1X),,odds,1,,,,,141,
o05_asian_corners,Over 0.5 Asian Corners,,0,100,1,,,odds,1,,,,,142,1
o05_asian_corners_1h,Over 0.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,143,1
o05_goal_line_1h,Over 0.5 Goal Line (1st Half),,0,100,1,Over 0.5 Goal Line (1st Half),,odds,1,,,,,144,
o05_goals,Match Goals Over 0.5,,0,100,1,Match Goals Over 0.5,,odds,1,,,,,145,
o05_goals_1h,1st Half Goals Over 0.5,,0,100,1,1st Half Goals Over 0.5,,odds,1,,,,,146,
o105_asian_corners,Over 10.5 Asian Corners,,0,100,1,Over 10.5 Asian Corners,,odds,1,,,,,147,
o105_asian_corners_1h,Over 10.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,148,1
o10_asian_corners,Over 10 Asian Corners,,0,100,1,Over 10 Asian Corners,,odds,1,,,,,149,
o10_asian_corners_1h,Over 10 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,150,1
o10_corners,Over 10 Total Corners,,0,100,1,Over 10 Total Corners,,odds,1,,,,,151,
o10_goal_line_1h,Over 1.0 Goal Line (1st Half),,0,100,1,Over 1.0 Goal Line (1st Half),,odds,1,,,,,152,
o115_asian_corners,Over 11.5 Asian Corners,,0,100,1,Over 11.5 Asian Corners,,odds,1,,,,,153,
o115_asian_corners_1h,Over 11.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,154,
o11_asian_corners,Over 11 Asian Corners,,0,100,1,Over 11 Asian Corners,,odds,1,,,,,155,
o11_asian_corners_1h,Over 11 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,156,1
o11_corners,Over 11 Total Corners,,0,100,1,Over 11 Total Corners,,odds,1,,,,,157,
o125_asian_corners,Over 12.5 Asian Corners,,0,100,1,Over 12.5 Asian Corners,,odds,1,,,,,158,
o125_asian_corners_1h,Over 12.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,159,1
o12_asian_corners,Over 12 Asian Corners,,0,100,1,Over 12 Asian Corners,,odds,1,,,,,160,
o12_asian_corners_1h,Over 12 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,161,1
o12_corners,Over 12 Total Corners,,0,100,1,Over 12 Total Corners,,odds,1,,,,,162,
o135_asian_corners,Over 13.5 Asian Corners,,0,100,1,,,odds,1,,,,,163,1
o135_asian_corners_1h,Over 13.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,164,1
o13_asian_corners,Over 13 Asian Corners,,0,100,1,,,odds,1,,,,,165,1
o13_asian_corners_1h,Over 13 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,166,1
o145_asian_corners,Over 14.5 Asian Corners,,0,100,1,,,odds,1,,,,,167,1
o145_asian_corners_1h,Over 14.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,168,1
o14_asian_corners,Over 14 Asian Corners,,0,100,1,,,odds,1,,,,,169,1
o14_asian_corners_1h,Over 14 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,170,1
o155_asian_corners,Over 15.5 Asian Corners,,0,100,1,,,odds,1,,,,,171,1
o15_asian_corners,Over 15 Asian Corners,,0,100,1,,,odds,1,,,,,172,1
o15_asian_corners_1h,Over 15 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,173,1
o15_goal_line,Over 1.5 Goal Line,,0,100,1,Over 1.5 Goal Line,,odds,1,,,,,174,
o15_goals,Match Goals Over 1.5,,0,100,1,Match Goals Over 1.5,,odds,1,,,,,175,
o15_goals_1h,1st Half Goals Over 1.5,,0,100,1,1st Half Goals Over 1.5,,odds,1,,,,,176,
o165_asian_corners,Over 16.5 Asian Corners,,0,100,1,,,odds,1,,,,,177,1
o16_asian_corners,Over 16 Asian Corners,,0,100,1,,,odds,1,,,,,178,1
o175_asian_corners,Over 17.5 Asian Corners,,0,100,1,,,odds,1,,,,,179,1
o17_asian_corners,Over 17 Asian Corners,,0,100,1,,,odds,1,,,,,180,1
o185_asian_corners,Over 18.5 Asian Corners,,0,100,1,,,odds,1,,,,,181,1
o18_asian_corners,Over 18 Asian Corners,,0,100,1,,,odds,1,,,,,182,1
o195_asian_corners,Over 19.5 Asian Corners,,0,100,1,,,odds,1,,,,,183,1
o19_asian_corners,Over 19 Asian Corners,,0,100,1,,,odds,1,,,,,184,1
o1_asian_corners,Over 1 Asian Corners,,0,100,1,,,odds,1,,,,,185,1
o1_asian_corners_1h,Over 1 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,186,1
o205_asian_corners,Over 20.5 Asian Corners,,0,100,1,,,odds,1,,,,,187,1
o20_asian_corners,Over 20 Asian Corners,,0,100,1,,,odds,1,,,,,188,1
o20_goal_line,Over 2.0 Goal Line,,0,100,1,Over 2.0 Goal Line,,odds,1,,,,,189,
o215_asian_corners,Over 21.5 Asian Corners,,0,100,1,,,odds,1,,,,,190,1
o21_asian_corners,Over 21 Asian Corners,,0,100,1,,,odds,1,,,,,191,1
o225_asian_corners,Over 22.5 Asian Corners,,0,100,1,,,odds,1,,,,,192,1
o22_asian_corners,Over 22 Asian Corners,,0,100,1,,,odds,1,,,,,193,1
o235_asian_corners,Over 23.5 Asian Corners,,0,100,1,,,odds,1,,,,,194,1
o23_asian_corners,Over 23 Asian Corners,,0,100,1,,,odds,1,,,,,195,1
o245_asian_corners,Over 24.5 Asian Corners,,0,100,1,,,odds,1,,,,,196,1
o24_asian_corners,Over 24 Asian Corners,,0,100,1,,,odds,1,,,,,197,1
o25_asian_corners,Over 25 Asian Corners,,0,100,1,,,odds,1,,,,,198,1
o25_asian_corners_1h,Over 2.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,199,1
o25_goal_line,Over 2.5 Goal Line,,0,100,1,Over 2.5 Goal Line,,odds,1,,,,,200,
o25_goals,Match Goals Over 2.5,,0,100,1,Match Goals Over 2.5,,odds,1,,,,,201,
o25_goals_1h,1st Half Goals Over 2.5,,0,100,1,1st Half Goals Over 2.5,,odds,1,,,,,202,
o2_asian_corners,Over 2 Asian Corners,,0,100,1,,,odds,1,,,,,203,1
o2_asian_corners_1h,Over 2 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,204,1
o35_asian_corners,Over 3.5 Asian Corners,,0,100,1,,,odds,1,,,,,205,1
o35_asian_corners_1h,Over 3.5 Asian Corners (1st Half),,0,100,1,Over 3.5 Asian Corners (1st Half),,odds,1,,,,,206,
o35_goals,Match Goals Over 3.5,,0,100,1,Match Goals Over 3.5,,odds,1,,,,,207,
o35_goals_1h,1st Half Goals Over 3.5,,0,100,1,1st Half Goals Over 3.5,,odds,1,,,,,208,
o3_asian_corners,Over 3 Asian Corners,,0,100,1,,,odds,1,,,,,209,
o3_asian_corners_1h,Over 3 Asian Corners (1st Half),,0,100,1,Over 3 Asian Corners (1st Half),,odds,1,,,,,210,
o45_asian_corners,Over 4.5 Asian Corners,,0,100,1,,,odds,1,,,,,211,
o45_asian_corners_1h,Over 4.5 Asian Corners (1st Half),,0,100,1,Over 4.5 Asian Corners (1st Half),,odds,1,,,,,212,
o45_goals,Match Goals Over 4.5,,0,100,1,Match Goals Over 4.5,,odds,1,,,,,213,
o45_goals_1h,1st Half Goals Over 4.5,,0,100,1,1st Half Goals Over 4.5,,odds,1,,,,,214,
o4_asian_corners,Over 4 Asian Corners,,0,100,1,,,odds,1,,,,,215,
o4_asian_corners_1h,Over 4 Asian Corners (1st Half),,0,100,1,Over 4 Asian Corners (1st Half),,odds,1,,,,,216,
o55_asian_corners,Over 5.5 Asian Corners,,0,100,1,,,odds,1,,,,,217,
o55_asian_corners_1h,Over 5.5 Asian Corners (1st Half),,0,100,1,Over 5.5 Asian Corners (1st Half),,odds,1,,,,,218,
o55_goals,Match Goals Over 5.5,,0,100,1,Match Goals Over 5.5,,odds,1,,,,,219,
o55_goals_1h,1st Half Goals Over 5.5,,0,100,1,1st Half Goals Over 5.5,,odds,1,,,,,220,
o5_asian_corners,Over 5 Asian Corners,,0,100,1,,,odds,1,,,,,221,
o5_asian_corners_1h,Over 5 Asian Corners (1st Half),,0,100,1,Over 5 Asian Corners (1st Half),,odds,1,,,,,222,
o65_asian_corners,Over 6.5 Asian Corners,,0,100,1,,,odds,1,,,,,223,
o65_asian_corners_1h,Over 6.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,224,
o65_goals,Match Goals Over 6.5,,0,100,1,Match Goals Over 6.5,,odds,1,,,,,225,
o6_asian_corners,Over 6 Asian Corners,,0,100,1,,,odds,1,,,,,226,
o6_asian_corners_1h,Over 6 Asian Corners (1st Half),,0,100,1,Over 6 Asian Corners (1st Half),,odds,1,,,,,227,
o75_asian_corners,Over 7.5 Asian Corners,,0,100,1,Over 7.5 Asian Corners,,odds,1,,,,,228,
o75_asian_corners_1h,Over 7.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,229,
o75_goals,Match Goals Over 7.5,,0,100,1,Match Goals Over 7.5,,odds,1,,,,,230,
o7_asian_corners,Over 7 Asian Corners,,0,100,1,,,odds,1,,,,,231,
o7_asian_corners_1h,Over 7 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,232,
o7_corners,Over 7 Total Corners,,0,100,1,Over 7 Total Corners,,odds,1,,,,,233,
o85_asian_corners,Over 8.5 Asian Corners,,0,100,1,Over 8.5 Asian Corners,,odds,1,,,,,234,
o85_asian_corners_1h,Over 8.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,235,
o85_goals,Match Goals Over 8.5,,0,100,1,,,odds,1,,,,,236,
o8_asian_corners,Over 8 Asian Corners,,0,100,1,Over 8 Asian Corners,,odds,1,,,,,237,
o8_asian_corners_1h,Over 8 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,238,
o8_corners,Over 8 Total Corners,,0,100,1,Over 8 Total Corners,,odds,1,,,,,239,
o95_asian_corners,Over 9.5 Asian Corners,,0,100,1,Over 9.5 Asian Corners,,odds,1,,,,,240,
o95_asian_corners_1h,Over 9.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,241,
o9_asian_corners,Over 9 Asian Corners,,0,100,1,Over 9 Asian Corners,,odds,1,,,,,242,
o9_asian_corners_1h,Over 9 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,243,
o9_corners,Over 9 Total Corners,,0,100,1,Over 9 Total Corners,,odds,1,,,,,244,
u05_asian_corners,Under 0.5 Asian Corners,,0,100,1,,,odds,1,,,,,245,
u05_asian_corners_1h,Under 0.5 Asian Corners (1st Half),,0,100,1,,,odds,1,,,,,246,
u05_goal_line_1h,Under 0.5 Goal Line (1st Half),,0,100,1,Under 0.5 Goal Line (1st Half),,odds,1,,,,,247,
